Daily_AOV,Avg_Freight_Ratio,Sales_Lag_1,Sales_Lag_7,Rolling_Mean_7d,DayOfWeek,Is_Weekend,DayOfMonth,Month
162.45938775510206,0.28945583523847146,8343.25,72.89,2730.721428571429,3,0,6,10
160.62333333333333,0.23040673007977974,7960.51,59.5,3857.524285714286,4,0,7,10
211.04625000000001,0.2662272051457698,7228.05,134.97,4881.602857142857,5,1,8,10
128.34576923076924,0.34796772441659324,8441.85,100.0,6068.300000000001,6,1,9,10
99.79918918918919,0.40191595021891474,3336.9900000000002,463.48,6530.727142857143,0,0,10,10
10.9,0.8,3692.57,9940.960000000001,6992.025714285715,4,0,23,12
12.403125,0.9322605768459282,10.9,8343.25,5573.4457142857145,3,0,5,1
229.095,0.3311502443947922,396.9,7960.51,4438.2528571428575,4,0,6,1
337.975,0.12933703329370397,916.38,7228.05,3431.948571428572,5,1,7,1
118.26333333333334,0.3321228310346273,1351.9,8441.85,2592.4985714285717,6,1,8,1
134.75799999999998,0.3876160865494998,709.58,3336.9900000000002,1487.8885714285716,0,0,9,1
239.14499999999998,0.19332032423799117,673.79,3692.57,1107.4314285714286,1,0,10,1
231.34666666666666,0.2692807418725188,1434.87,10.9,784.9028571428571,2,0,11,1
171.89076923076922,0.30616433800788817,2776.16,396.9,1179.94,3,0,12,1
227.78,0.15191795909188602,2234.58,916.38,1442.465714285714,4,0,13,1
61.81611111111111,0.4030717966365607,2505.58,1351.9,1669.4942857142855,5,1,14,1
157.11214285714286,0.3791013776724984,1112.69,709.58,1635.3214285714282,6,1,15,1
174.10105263157894,0.2838333455597224,2199.57,673.79,1848.1771428571426,0,0,16,1
103.20406249999999,0.30440106616407003,3307.92,1434.87,2224.4814285714283,1,0,17,1
122.19272727272728,0.38274690097946606,3302.5299999999997,2776.16,2491.29,2,0,18,1
122.55,0.3602563665267547,4032.36,2234.58,2670.747142857143,3,0,19,1
144.1367857142857,0.3161195451963744,3553.95,2505.58,2859.2285714285713,4,0,20,1
102.44166666666666,0.4234587781326794,4035.83,1112.69,3077.8357142857144,5,1,21,1
120.64233333333333,0.2865977264283074,2458.6,2199.57,3270.1085714285714,6,1,22,1
168.75564102564104,0.3748515998363416,3619.27,3307.92,3472.922857142857,0,0,23,1
148.87925,0.24243034507018232,6581.47,3302.5299999999997,3940.5728571428576,1,0,24,1
144.7940322580645,0.30112201818202167,5955.17,4032.36,4319.521428571429,2,0,25,1
154.796,0.36237055381459177,8977.23,3553.95,5025.931428571429,3,0,26,1
187.4254098360656,0.31673433488924796,13157.66,4035.83,6397.889999999999,4,0,27,1
179.69,0.4275200280484387,11432.95,2458.6,7454.621428571429,5,1,28,1
184.50457142857144,0.19827639164939287,5211.01,3619.27,7847.822857142857,6,1,29,1
211.78686274509806,0.23315056070396467,6457.66,6581.47,8253.307142857144,0,0,30,1
165.91238805970147,0.3081358993060841,10801.130000000001,5955.17,8856.115714285716,1,0,31,1
122.68283582089552,0.3247337877167691,11116.13,8977.23,9593.395714285713,2,0,1,2
131.14176470588234,0.35308513031304994,8219.75,13157.66,9485.184285714287,3,0,2,2
178.66210526315788,0.3236939461320263,8917.64,11432.95,8879.467142857142,4,0,3,2
211.63878787878787,0.24020407366774282,10183.74,5211.01,8701.00857142857,5,1,4,2
113.38386666666668,0.3292414440870131,13968.16,6457.66,9952.029999999999,6,1,5,2
117.77086419753087,0.3644059296911449,8503.79,10801.130000000001,10244.334285714285,0,0,6,2
127.41873873873874,0.2955990587532346,9539.44,11116.13,10064.092857142856,1,0,7,2
132.86966666666666,0.36184512336241814,14143.48,8219.75,10496.57142857143,2,0,8,2
119.35441558441559,0.31490150721448107,11958.27,8917.64,11030.645714285714,3,0,9,2
215.49454545454546,0.2751465158042106,9190.29,10183.74,11069.595714285713,4,0,10,2
95.72355555555556,0.4132972645480435,14222.64,13968.16,11646.581428571428,5,1,11,2
240.09761904761905,0.3044336667494158,4307.56,8503.79,10266.495714285715,6,1,12,2
141.90986842105264,0.3917242246786495,15126.15,9539.44,11212.547142857144,0,0,13,2
178.79028169014086,0.3160029708511285,10785.15,14143.48,11390.505714285713,1,0,14,2
112.83583333333333,0.31771026477556097,12694.11,11958.27,11183.452857142856,2,0,15,2
122.0776923076923,0.2990238053422642,6770.15,9190.29,10442.292857142855,3,0,16,2
151.1391111111111,0.29028123200473566,6348.04,14222.64,10036.257142857143,4,0,17,2
140.33326923076922,0.3587429138670567,6801.26,4307.56,8976.060000000001,5,1,18,2
94.9475,0.35239313692714846,7297.33,15126.15,9403.17,6,1,19,2
125.05238095238096,0.38427168396845257,3797.9,10785.15,7784.848571428572,0,0,20,2
202.08878048780485,0.39320484459504484,7878.3,12694.11,7369.584285714286,1,0,21,2
131.6893442622951,0.4148605802357548,8285.64,6770.15,6739.802857142858,2,0,22,2
117.64101694915254,0.33927518896406594,8033.05,6348.04,6920.217142857143,3,0,23,2
107.7775806451613,0.37307387964995437,6940.82,6801.26,7004.9,4,0,24,2
99.91880952380953,0.32150399585961154,6682.21,7297.33,6987.892857142857,5,1,25,2
121.03733333333334,0.5746498770745652,4196.59,3797.9,6544.93,6,1,26,2
135.90976744186045,0.6026511204990453,5446.68,7878.3,6780.47,0,0,27,2
204.01381818181818,0.3146817422045127,5844.12,8285.64,6489.872857142857,1,0,28,2
132.1622105263158,0.3441486093977561,11220.76,8033.05,6909.175714285714,2,0,1,3
167.30882352941177,0.33042169061493465,12555.41,6940.82,7555.227142857143,3,0,2,3
171.72833333333335,0.3024717787889707,11377.0,6682.21,8188.967142857144,4,0,3,3
164.39623376623376,0.31889965798255077,12364.44,4196.59,9000.714285714286,5,1,4,3
96.59194444444444,0.46785102151118724,12658.51,5446.68,10209.56,6,1,5,3
104.41050505050505,0.37004078074180713,6954.62,5844.12,10424.98,0,0,6,3
146.71012345679014,0.34127116612974095,10336.64,11220.76,11066.768571428573,1,0,7,3
187.33923076923077,0.28128473117785774,11883.52,12555.41,11161.448571428571,2,0,8,3
127.23413043478261,0.33097854515779973,14612.46,11377.0,11455.312857142857,3,0,9,3
140.44170454545454,0.3554484783012685,11705.54,12364.44,11502.247142857143,4,0,10,3
152.8587323943662,0.35124651682180996,12358.87,12658.51,11501.451428571429,5,1,11,3
103.315,0.37257981608008767,10852.97,6954.62,11243.517142857143,6,1,12,3
152.77522522522523,0.2661040500120737,6612.16,10336.64,11194.594285714284,0,0,13,3
143.87535353535353,0.2874652738816724,16958.05,11883.52,12140.509999999998,1,0,14,3
140.18065420560748,0.3279454107042781,14243.66,14612.46,12477.672857142858,2,0,15,3
138.54155339805826,0.3186239894368935,14999.33,11705.54,12532.94,3,0,16,3
184.16,0.3021954402521805,14269.78,12358.87,12899.26,4,0,17,3
225.12082191780823,0.27853896718926047,11970.4,10852.97,12843.764285714284,5,1,18,3
118.73821428571429,0.2279722826290744,16433.82,6612.16,13641.028571428573,6,1,19,3
147.38353448275865,0.28839180428346933,6649.34,16958.05,13646.34,0,0,20,3
122.0336559139785,0.3410831180161089,17096.49,14243.66,13666.117142857143,1,0,21,3
135.13304761904763,0.3579202995649815,11349.130000000001,14999.33,13252.612857142856,2,0,22,3
147.52747747747748,0.336413567551645,14188.970000000001,14269.78,13136.847142857141,3,0,23,3
132.1801298701299,0.3562380315497986,16375.55,11970.4,13437.671428571428,4,0,24,3
125.64053333333335,0.3790329911271626,10177.87,16433.82,13181.595714285713,5,1,25,3
98.76484375,0.336389527934924,9423.04,6649.34,12180.055714285716,6,1,26,3
150.06394495412843,0.32218099067834843,6320.95,17096.49,12133.142857142857,0,0,27,3
121.305,0.35900675735898746,16356.97,11349.130000000001,12027.497142857144,1,0,28,3
117.03432432432433,0.39568087588635975,12373.11,14188.970000000001,12173.78,2,0,29,3
135.48108108108107,0.3350894250893064,8660.54,16375.55,11384.004285714285,3,0,30,3
174.27942857142855,0.33044495889574804,10025.6,10177.87,10476.868571428571,4,0,31,3
264.1398507462686,0.3019059127171285,12199.56,9423.04,10765.68142857143,5,1,1,4
140.45969230769234,0.2742429549401996,17697.37,6320.95,11947.728571428572,6,1,2,4
127.17722222222223,0.38727363575465285,9129.880000000001,16356.97,12349.004285714285,0,0,3,4
128.1421875,0.2844624566210871,9156.76,12373.11,11320.402857142855,1,0,4,4
196.905625,0.27560065825218466,12301.65,8660.54,11310.194285714284,2,0,5,4
